,school_name,t_class,t_title,t_level,t_mingrade,gt_class,gt_title,gt_ch
0,Alabama Agric Mech University,ART  101,Transfer Course,Undergraduate,C,HUM  1XXX,Humanities Elective,2.0
1,Alabama Agric Mech University,BIO  101,Transfer Course,Undergraduate,C,BIOL  1XXX,Biology Elective (Non-Lab Sci),3.0
2,Alabama Agric Mech University,BIO  103,Transfer Course,Undergraduate,C,ET  LAB,Credit Awarded w/Lab Section,0.0
3,Alabama Agric Mech University,BIO  103L,Transfer Course,Undergraduate,C,BIOL  1510,Biological Principles,4.0
4,Alabama Agric Mech University,CE  101,Transfer Course,Undergraduate,C,FREE  1XXX,Free Elective,3.0
5,Alabama Agric Mech University,CHE  101,General Chemistry I,Undergraduate,C,ET  LAB,Credit Awarded w/CHE 101L,0.0
6,Alabama Agric Mech University,CHE  101L,General Chemistry Lab I,Undergraduate,C,CHEM  1211K,Chemical Principles I,4.0
7,Alabama Agric Mech University,CHE  102,General Chemistry II,Undergraduate,C,ET  LAB,Credit Awarded w/CHE 102L,0.0
8,Alabama Agric Mech University,CHE  102L,General Chemistry Lab II,Undergraduate,C,CHEM  1212K,Chemical Principles II,4.0
9,Alabama Agric Mech University,CHE  103L,Transfer Course,Undergraduate,C,CHEM  1XXX,Chemistry Elective,4.0
10,Alabama Agric Mech University,CHE  201,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
11,Alabama Agric Mech University,CHE  201L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
12,Alabama Agric Mech University,CHE  202,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
13,Alabama Agric Mech University,CHE  202L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
14,Alabama Agric Mech University,CHE  301,Transfer Course,Undergraduate,C,CHEM  2311,Organic Chemistry I,3.0
15,Alabama Agric Mech University,CHE  302,Transfer Course,Undergraduate,C,CHEM  2312,Organic Chemistry II,3.0
16,Alabama Agric Mech University,CHE  401,Transfer Course,Undergraduate,C,CHEM  3411,Physical Chemistry I,3.0
17,Alabama Agric Mech University,CHE  402,Transfer Course,Undergraduate,C,CHEM  3412,Physical Chemistry II,3.0
18,Alabama Agric Mech University,CHEL  301,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
19,Alabama Agric Mech University,CMP  102,Transfer Course,Undergraduate,C,CS  18XX,Transfer C Language,3.0
20,Alabama Agric Mech University,CMP  102L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
21,Alabama Agric Mech University,ECO  200,Transfer Course,Undergraduate,C,ECON  2106,Prin of Microeconomics,3.0
22,Alabama Agric Mech University,ECO  2000,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
23,Alabama Agric Mech University,EE  101,Transfer Course,Undergraduate,C,FREE  1XXX,Free Elective,3.0
24,Alabama Agric Mech University,EE  201,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
25,Alabama Agric Mech University,EE  201L,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
26,Alabama Agric Mech University,EE  202,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
27,Alabama Agric Mech University,EE  203,Transfer Course,Undergraduate,C,ET  DEPT,Approp Dept Must Evaluate,0.0
