,Unnamed: 0,state_entry,term,school_name,t_class,t_title,t_level,t_mingrade,gt_class,gt_title,gt_ch
54,54,Alabama,Fall 2021,Alabama Agric Mech University,0,0,0,0,0,0,0
105,105,Alabama,Fall 2021,Alabama State University,0,0,0,0,0,0,0
146,146,Alabama,Fall 2021,Auburn Univ Montgomery,0,0,0,0,0,0,0
214,214,Alabama,Fall 2021,Auburn University,0,0,0,0,0,0,0
539,539,Alabama,Fall 2021,Bevill State Cmty Coll Brewer,0,0,0,0,0,0,0
554,554,Alabama,Fall 2021,Birmingham Southern College,0,0,0,0,0,0,0
608,608,Alabama,Fall 2021,Bishop State Cmty Coll,0,0,0,0,0,0,0
636,636,Alabama,Fall 2021,Calhoun Community College,0,0,0,0,0,0,0
709,709,Alabama,Fall 2021,Centrl Alabama C C Childsbrg,0,0,0,0,0,0,0
851,851,Alabama,Fall 2021,Faulkner University,0,0,0,0,0,0,0
892,892,Alabama,Fall 2021,Gadsden St Cmty College,0,0,0,0,0,0,0
925,925,Alabama,Fall 2021,Geo C Wallace Community Colg,0,0,0,0,0,0,0
971,971,Alabama,Fall 2021,Jacksonville St University,0,0,0,0,0,0,0
1025,1025,Alabama,Fall 2021,Jefferson State Cmty Coll,0,0,0,0,0,0,0
1097,1097,Alabama,Fall 2021,Marion Military Institute,0,0,0,0,0,0,0
1146,1146,Alabama,Fall 2021,Northwst-Shoals Cmty Coll,0,0,0,0,0,0,0
1176,1176,Alabama,Fall 2021,Oakwood University,0,0,0,0,0,0,0
1200,1200,Alabama,Fall 2021,Samford University,0,0,0,0,0,0,0
1280,1280,Alabama,Fall 2021,Shelton State Cmnty College,0,0,0,0,0,0,0
1314,1314,Alabama,Fall 2021,Snead State Community College,0,0,0,0,0,0,0
1365,1365,Alabama,Fall 2021,Southrn Union St Comm Coll Wad,0,0,0,0,0,0,0
1516,1516,Alabama,Fall 2021,Troy University,0,0,0,0,0,0,0
1580,1580,Alabama,Fall 2021,Tuskegee University,0,0,0,0,0,0,0
1658,1658,Alabama,Fall 2021,Univ Alabama Birmingham,0,0,0,0,0,0,0
1793,1793,Alabama,Fall 2021,Univ Alabama Huntsville,0,0,0,0,0,0,0
1906,1906,Alabama,Fall 2021,Univ Alabama Tuscaloosa*,0,0,0,0,0,0,0
2126,2126,Alabama,Fall 2021,Univ South Alabama,0,0,0,0,0,0,0
2214,2214,Alabama,Fall 2021,University Of West Alabama,0,0,0,0,0,0,0
2263,2263,Alaska,Fall 2021,Univ Alaska Anchorage,0,0,0,0,0,0,0
2292,2292,Alaska,Fall 2021,Univ Alaska Fairbanks*,0,0,0,0,0,0,0
2328,2328,Alaska,Fall 2021,Univ of Alaska-Fairbanks*,0,0,0,0,0,0,0
2362,2362,Arizona,Fall 2021,Arizona State Univ-West,0,0,0,0,0,0,0
2453,2453,Arizona,Fall 2021,Arizona State University,0,0,0,0,0,0,0
2700,2700,Arizona,Fall 2021,Arizona Western College,0,0,0,0,0,0,0
2752,2752,Arizona,Fall 2021,Central Arizona College,0,0,0,0,0,0,0
2770,2770,Arizona,Fall 2021,Chandler Gilbert Cmty College,0,0,0,0,0,0,0
2808,2808,Arizona,Fall 2021,Cochise College,0,0,0,0,0,0,0
2853,2853,Arizona,Fall 2021,Estrella Mountain Cmty Coll,0,0,0,0,0,0,0
2910,2910,Arizona,Fall 2021,Gateway Cmty College,0,0,0,0,0,0,0
2960,2960,Arizona,Fall 2021,Glendale Community College,0,0,0,0,0,0,0
